steps,rewards
125,-286.875474221894
234,-202.22765966760875
318,-125.7214040640128
435,-180.48228219588776
559,-300.92048331309627
688,-232.40326325564865
856,-266.933432550177
1181,-289.8461684102125
1276,-321.6262763609449
1475,-79.35625751087404
1941,-286.98996469792166
2504,-212.0328492144499
2775,-42.1798593120482
3053,-56.93986555083706
3299,-114.20730017591114
3533,-300.8736810026721
3714,-93.02366696071059
4128,-34.72803923326943
4321,52.823310025670736
4576,-82.71908506281005
4868,-325.2156958738525
5170,-123.65836327666153
5526,-258.7172300733358
5823,-129.75452655863913
6087,-281.0262144887972
6199,-831.4761781543241
6386,-88.39571523308908
6727,-445.7953942622853
7072,-252.05138790242484
7570,-133.63030815171248
8570,-144.16724237833688
9570,-83.91038652177635
9903,-198.7881431160976
10147,-119.42640060435559
10315,-71.06676834735805
11315,-124.69284402976352
11801,-130.24961298551636
11937,-267.11229372363675
12937,-70.93055237561406
13200,-60.939676330030984
14200,-85.91433958539642
15200,-110.85336843788676
15324,-115.17525466674738
16324,-63.782330902327196
17324,-135.43923962219284
18324,-13.862868659070678
19324,-102.19647751264384
20324,-100.17631571856953
21324,-120.86427157580567
22324,-71.31958678691953
23324,-30.496146578705535
24324,-85.60244997294208
25324,-116.59707617211247
25791,-123.61844592494108
26782,67.62304995032304
27782,-111.51470911397487
28676,-258.54211509357674
29676,-147.44222415781297
30676,13.689901359478895
31676,-80.07839031301013
32676,-123.80027037469351
32766,-179.71724335972496
32903,-131.20545082069276
33110,-131.4000330238347
34110,-68.29658690695089
34255,-114.95752189757903
35255,-89.48974571227369
36255,-116.82604788555402
37255,-162.01063731848313
38255,-151.58355883110875
38408,-93.33812483795589
38582,-93.42197105280044
39002,-78.67078638324652
40002,-166.66459882042676
41002,-130.12551904129793
42002,-97.15475917765241
43002,-124.66148346637002
44002,-172.25154114099374
45002,-139.1858375050204
46002,-181.78814466505688
47002,-125.34837541005206
48002,-106.07121604752588
49002,-130.13240569181607
50002,-94.49910697608598
51002,-110.14252716037527
52002,-137.9069604911463
53002,-122.71147117688437
54002,-125.27967229076306
55002,-97.24452054358485
56002,27.824130172734804
57002,-14.847819235403016
57723,140.80922438703897
58497,-279.0489226134161
59312,-272.50467506504066
59450,-97.33482717110418
59663,-94.38206791360064
59951,-133.18757250734322
60070,-93.4794061362684
60645,-450.5586128110369
60795,-37.94012873881684
61474,136.43120767520068
61694,-247.72599669353804
62292,-227.63858087759357
62410,-47.55213732564152
63251,-136.82544759804702
64109,112.98507188654504
64219,-59.61076057969393
64892,106.71989046171882
65042,-33.24145041706083
65794,-236.1248037350575
66649,-234.5076987707793
67649,-110.6887994258581
68649,-68.36183699050777
69267,131.41040209163182
69396,-126.29727419497321
69537,-69.24165580573602
70207,-323.60196109071046
70885,-372.25263428832454
71740,141.83621940939196
72208,-313.7731938257641
72305,-181.75750501121087
72993,-172.64259691076933
73993,-109.38862164786399
74102,-124.10055147827757
74973,-184.7981078713849
75063,-59.58349959811735
76063,4.93146540565475
76739,-129.50160442016374
77739,-23.676399404295054
78739,-91.90868597417585
79739,-96.9279062253373
80620,-303.1624008139886
80823,-176.68161786990868
81823,-83.77808838665129
82153,-184.14546696176802
83153,-44.96327563442424
83407,-159.28813653061502
83568,-124.01477451625394
83916,-177.55297904497075
84916,-12.376741834345916
85916,-16.82376507535965
86143,-129.88964386160777
87143,-26.214310035289383
87360,-110.6343522700025
87581,-106.7307992965798
88581,12.022960652548624
88802,-104.54253257087682
89802,12.019866327261578
90802,-3.5900553446314145
91132,-154.5263934867043
91688,-207.83455688960575
91848,-97.72143126541877
92126,-143.73733553775327
92470,-147.5568643022564
92691,-92.97939096615792
92969,-131.09331706566434
93339,-165.21718803691155
93570,-516.6530321101911
93741,-103.44441065827259
93814,-306.7499102804013
94814,-44.128859507941094
95677,-208.99575151282787
95918,-151.78092865617486
96918,-116.21722830197724
97423,-205.98031284114518
98423,-35.11534937005739
99423,2.116580942870913
100423,-99.24146691052073
100665,-131.14397913022128
100905,-131.68041094185875
101420,-190.59931259478446
102420,-52.52027667119483
103238,-567.6936778199469
104238,-11.685871840790535
104469,-143.60030167379747
105189,-253.9191866078209
106019,-241.71155707313923
106704,-209.65751171562596
107088,-154.39474965103122
108088,-24.740077489589986
108291,-108.36983366709342
109291,-22.186458172455705
110291,-69.78643109744947
110651,-63.75379879018015
110902,-56.50421614955766
111902,-34.89451875039696
112902,-87.10351294193856
113235,-31.586806233357024
113550,-240.60330287528706
113965,-65.10495362580352
114965,-55.76801884805873
115382,-40.700045352951236
115584,30.667427183093125
115909,-24.012416044562443
116034,-9.442196270085972
116230,-29.08252217880255
117230,-0.35547161770598273
117569,-24.954060544183605
118569,-28.453716626881572
119569,-154.22777079847165
120569,-39.357286735723896
120910,-16.23469053590769
121910,-79.86098282507393
122910,-50.99585232257471
123910,-61.45324752301553
124910,3.3130723444460406
125910,-27.669154320798903
126910,-8.09482480627738
127910,5.682891651672766
128910,-49.54814722503183
129910,-38.756729287671355
130910,11.578189927267184
131910,6.520976830886775
132910,-47.415295850313036
133341,-81.84451440859873
134341,-13.394210055820606
135341,-18.48540366751499
136341,-49.69356300764572
137341,-27.459223505878978
138341,-14.937749861997588
139341,-46.01593322620023
140341,-43.88327368074639
140608,-11.876981643607564
141608,11.240110229018393
